	Time	Time (s)	Distance [m]	Internal Batte [V]	Datalogger_Tem [°C]	Battery [V]	GPS_Speed [km/h]	GPS_Nsat [#]	GPS_LatAcc [g]	GPS_LonAcc [g]	GPS_Slope [deg]	GPS_Heading [deg]	GPS_Gyro [deg/s]	GPS_Altitude [m]	GPS_PosAccuracy [m]	
Lap: 1	 01.20.330	0.000	0.00	3.885	-273.150	0.000	0.000	10.000	0.000	0.000	-0.006	-0.011	-0.022	168.000	1.500	
		0.100	0.00	3.885	-273.150	0.000	0.000	10.000	0.000	0.000	-0.006	-0.011	-0.022	168.000	1.500	
		0.200	0.00	3.885	-273.150	0.000	0.000	10.000	0.000	0.000	-0.006	-0.011	-0.022	168.000	1.500	
		0.300	0.00	3.885	-273.150	0.000	0.000	10.000	0.000	0.000	-0.006	-0.011	-0.022	168.000	1.500	
		0.400	0.00	3.885	-273.150	0.000	0.000	10.000	0.000	0.000	-0.006	-0.011	-0.022	168.000	1.500	
		0.500	0.00	3.885	-273.150	0.000	0.000	10.000	0.000	0.000	-0.006	-0.011	-0.022	168.000	1.500	
		0.600	0.00	3.885	-273.150	0.000	0.000	10.000	0.000	0.000	-0.006	-0.011	-0.022	168.000	1.500	
		0.700	0.00	3.885	-273.150	0.000	0.000	10.000	0.000	0.000	-0.006	-0.011	-0.022	168.000	1.500	
		0.800	0.00	3.885	-273.150	0.000	0.104	10.000	0.000	0.000	-0.006	-0.011	-0.022	168.000	1.500	
		0.900	0.02	3.885	-273.150	0.000	0.748	10.000	0.000	0.000	-0.014	2.372	-0.022	168.000	1.500	
		1.000	0.06	3.885	-273.150	0.000	1.280	10.000	0.000	0.000	-0.131	32.084	-0.022	168.000	1.500	
		1.100	0.08	3.885	-273.150	0.000	0.775	10.000	0.000	0.000	-0.352	86.481	-0.022	168.000	1.500	
		1.200	0.13	3.885	-273.150	0.000	1.646	10.000	0.000	0.000	-0.378	93.266	0.005	168.000	1.500	
		1.300	0.23	3.885	-273.150	0.000	3.424	10.000	-0.000	0.088	-0.402	93.286	0.047	168.000	1.534	
		1.400	0.40	3.885	-273.150	0.000	6.005	10.000	-0.001	0.445	-0.497	93.364	-0.015	168.000	1.665	
		1.500	0.65	3.885	-273.150	0.000	8.800	10.000	-0.001	0.745	-0.573	93.427	-0.223	168.000	1.770	
		1.600	0.99	3.885	-273.150	0.000	11.920	10.000	-0.003	0.746	-0.597	93.469	-0.425	168.000	1.754	
		1.700	1.42	3.885	-273.150	0.000	15.140	10.000	-0.003	0.706	-0.628	93.532	-0.493	168.000	1.735	
		1.800	1.93	3.885	-273.150	0.000	17.618	10.000	-0.003	0.641	-0.636	93.573	-0.464	168.000	1.718	
		1.900	2.48	3.885	-273.150	0.000	19.537	9.390	-0.003	0.563	-0.632	93.629	-0.351	168.000	1.692	
		2.000	3.09	3.885	-273.150	0.000	21.288	9.000	-0.001	0.487	-0.630	93.656	-0.165	168.000	1.680	
		2.100	3.75	3.885	-273.150	0.000	22.784	9.000	0.002	0.430	-0.614	93.687	0.127	168.000	1.673	
		2.200	4.44	3.885	-273.150	0.000	24.194	9.000	0.006	0.397	-0.603	93.718	0.490	168.000	1.663	
		2.300	5.17	3.885	-273.150	0.000	25.562	9.000	0.010	0.389	-0.584	93.725	0.834	168.000	1.660	
		2.400	5.94	3.885	-273.150	0.000	26.747	9.000	0.013	0.403	-0.534	93.725	1.094	168.000	1.645	
		2.500	6.74	3.885	-273.150	0.000	28.280	9.000	0.014	0.431	-0.466	93.707	1.183	168.000	1.640	
		2.600	7.61	3.885	-273.150	0.000	30.112	9.000	0.015	0.463	-0.428	93.673	1.173	168.000	1.632	
		2.700	8.53	3.885	-273.150	0.000	31.966	9.000	0.015	0.491	-0.404	93.628	1.110	168.000	1.621	
		2.800	9.49	3.885	-273.150	0.000	33.820	9.000	0.014	0.515	-0.385	93.580	0.977	168.000	1.620	
		2.900	10.51	3.885	-273.150	0.000	35.674	9.000	0.012	0.535	-0.368	93.523	0.793	168.000	1.611	
		3.000	11.60	3.885	-273.150	0.000	37.643	9.000	0.008	0.554	-0.361	93.463	0.536	168.000	1.610	
		3.100	12.73	3.885	-273.150	0.000	39.700	9.000	0.004	0.572	-0.361	93.404	0.299	168.000	1.600	
		3.200	13.92	3.885	-273.150	0.000	41.663	9.000	-0.000	0.590	-0.361	93.334	0.039	168.000	1.590	
		3.300	15.18	3.885	-273.150	0.000	43.826	9.000	-0.005	0.605	-0.367	93.274	-0.221	168.000	1.590	
		3.400	16.49	3.885	-273.150	0.000	45.998	9.000	-0.010	0.617	-0.372	93.204	-0.478	168.000	1.590	
		3.500	17.89	3.885	-273.150	0.000	48.312	9.000	-0.016	0.623	-0.371	93.143	-0.714	168.000	1.590	
		3.600	19.34	3.885	-273.150	0.000	50.768	9.000	-0.022	0.622	-0.366	93.078	-0.911	168.000	1.588	
		3.700	20.86	3.885	-273.150	0.000	53.118	9.000	-0.027	0.617	-0.360	93.042	-1.025	168.000	1.580	
		3.800	22.44	3.885	-273.150	0.000	55.362	9.000	-0.030	0.610	-0.353	93.007	-1.119	168.000	1.580	
		3.900	24.11	3.885	-273.150	0.000	57.572	9.000	-0.034	0.602	-0.341	92.974	-1.209	168.000	1.580	
		4.000	25.82	3.885	-273.150	0.000	59.838	9.000	-0.037	0.591	-0.329	92.947	-1.286	168.000	1.577	
		4.100	27.59	3.885	-273.150	0.000	61.880	9.000	-0.041	0.579	-0.317	92.912	-1.366	168.000	1.567	
		4.200	29.40	3.885	-273.150	0.000	63.215	9.000	-0.044	0.567	-0.303	92.880	-1.413	168.000	1.560	
		4.300	31.23	3.885	-273.150	0.000	64.180	9.000	-0.046	0.553	-0.288	92.852	-1.460	168.000	1.560	
		4.400	33.11	3.885	-273.150	0.000	65.178	9.000	-0.049	0.540	-0.273	92.817	-1.498	168.000	1.560	
		4.500	35.01	3.885	-273.150	0.000	66.150	9.450	-0.051	0.526	-0.258	92.786	-1.522	168.000	1.560	
		4.600	36.95	3.885	-273.150	0.000	67.900	10.000	-0.053	0.500	-0.238	92.730	-1.601	168.000	1.560	
		4.700	38.97	3.885	-273.150	0.000	70.730	10.000	-0.050	0.467	-0.212	92.618	-1.497	168.000	1.560	
		4.800	41.10	3.885	-273.150	0.000	73.905	10.000	-0.035	0.456	-0.203	92.493	-1.001	168.000	1.560	
		4.900	43.28	3.885	-273.150	0.000	76.228	10.000	-0.021	0.461	-0.213	92.408	-0.560	168.000	1.560	
		5.000	45.51	3.885	-273.150	0.000	77.876	10.000	-0.013	0.466	-0.225	92.349	-0.309	168.000	1.566	
		5.100	47.79	3.885	-273.150	0.000	79.588	10.000	-0.007	0.471	-0.240	92.290	-0.155	168.000	1.570	
		5.200	50.11	3.885	-273.150	0.000	81.272	10.000	-0.005	0.474	-0.258	92.239	-0.098	168.000	1.570	
		5.300	52.51	3.885	-273.150	0.000	83.007	10.000	-0.004	0.473	-0.280	92.191	-0.107	168.000	1.570	
		5.400	54.93	3.885	-273.150	0.000	84.758	10.000	-0.005	0.468	-0.299	92.144	-0.131	168.000	1.570	
		5.500	57.40	3.885	-273.150	0.000	86.432	10.000	-0.007	0.459	-0.312	92.106	-0.154	168.000	1.570	
		5.600	59.92	3.885	-273.150	0.000	88.080	10.000	-0.007	0.445	-0.324	92.070	-0.178	168.000	1.562	
		5.700	62.49	3.885	-273.150	0.000	89.728	10.000	-0.007	0.427	-0.331	92.035	-0.183	168.000	1.560	
		5.800	65.13	3.885	-273.150	0.000	91.392	10.000	-0.006	0.404	-0.337	92.009	-0.143	168.000	1.551	
		5.900	67.78	3.885	-273.150	0.000	92.770	10.000	-0.005	0.380	-0.333	91.985	-0.116	168.000	1.550	
		6.000	70.47	3.885	-273.150	0.000	94.109	10.000	-0.005	0.355	-0.327	91.972	-0.092	168.000	1.550	
		6.100	73.20	3.885	-273.150	0.000	95.352	10.000	-0.006	0.334	-0.321	91.950	-0.113	168.000	1.550	
		6.200	75.99	3.885	-273.150	0.000	96.500	10.000	-0.008	0.316	-0.315	91.937	-0.160	168.000	1.550	
		6.300	78.78	3.885	-273.150	0.000	97.533	10.000	-0.010	0.306	-0.309	91.914	-0.230	168.000	1.540	
		6.400	81.60	3.885	-273.150	0.000	98.660	10.000	-0.013	0.304	-0.304	91.901	-0.277	168.000	1.540	
		6.500	84.45	3.885	-273.150	0.000	99.690	10.000	-0.015	0.309	-0.310	91.879	-0.320	168.000	1.540	
		6.600	87.33	3.885	-273.150	0.000	100.744	10.000	-0.015	0.316	-0.316	91.867	-0.317	168.000	1.540	
		6.700	90.28	3.885	-273.150	0.000	102.008	10.000	-0.013	0.325	-0.322	91.855	-0.286	168.000	1.538	
		6.800	93.24	3.885	-273.150	0.000	103.328	10.000	-0.011	0.331	-0.333	91.841	-0.215	168.000	1.530	
		6.900	96.23	3.885	-273.150	0.000	104.564	10.000	-0.009	0.335	-0.339	91.815	-0.160	168.000	1.530	
		7.000	99.26	3.885	-273.150	0.000	105.800	10.000	-0.009	0.335	-0.345	91.780	-0.165	168.000	1.530	
		7.100	102.35	3.885	-273.150	0.000	107.019	10.000	-0.010	0.332	-0.349	91.737	-0.196	168.000	1.530	
		7.200	105.44	3.885	-273.150	0.000	108.184	10.000	-0.012	0.328	-0.349	91.678	-0.236	168.000	1.530	
		7.300	108.57	3.885	-273.150	0.000	109.385	10.000	-0.013	0.323	-0.347	91.611	-0.251	168.000	1.530	
		7.400	111.73	3.885	-273.150	0.000	110.518	10.000	-0.011	0.318	-0.341	91.524	-0.225	168.000	1.530	
		7.500	114.93	3.885	-273.150	0.000	111.651	10.000	-0.006	0.314	-0.338	91.425	-0.136	168.000	1.530	
		7.600	118.19	3.885	-273.150	0.000	112.795	10.000	-0.002	0.309	-0.338	91.313	-0.027	168.000	1.530	
		7.700	121.44	3.885	-273.150	0.000	113.928	10.000	0.002	0.303	-0.341	91.189	0.057	168.000	1.530	
		7.800	124.74	3.885	-273.150	0.000	115.061	10.000	0.002	0.296	-0.346	91.059	0.081	168.000	1.530	
		7.900	128.06	3.885	-273.150	0.000	116.140	10.000	-0.007	0.286	-0.352	90.917	-0.054	168.000	1.530	
		8.000	131.44	3.885	-273.150	0.000	117.180	10.000	-0.026	0.275	-0.362	90.756	-0.386	168.000	1.530	
		8.100	134.82	3.885	-273.150	0.000	118.149	10.000	-0.053	0.262	-0.370	90.590	-0.857	168.000	1.530	
		8.200	138.23	3.885	-273.150	0.000	119.076	10.000	-0.085	0.250	-0.380	90.403	-1.435	168.000	1.530	
		8.300	141.66	3.885	-273.150	0.000	120.003	10.000	-0.121	0.239	-0.391	90.202	-2.064	168.000	1.530	
		8.400	145.12	3.885	-273.150	0.000	120.790	10.000	-0.154	0.230	-0.399	89.978	-2.621	168.000	1.530	
		8.500	148.63	3.885	-273.150	0.000	121.592	10.000	-0.179	0.225	-0.409	89.722	-3.061	168.000	1.530	
		8.600	152.13	3.885	-273.150	0.000	122.416	10.000	-0.196	0.223	-0.421	89.445	-3.321	168.000	1.530	
		8.700	155.65	3.885	-273.150	0.000	123.160	10.000	-0.204	0.225	-0.433	89.153	-3.423	168.000	1.530	
		8.800	159.20	3.885	-273.150	0.000	123.964	10.000	-0.203	0.228	-0.445	88.829	-3.361	167.170	1.530	
		8.900	162.81	3.885	-273.150	0.000	124.883	10.000	-0.198	0.230	-0.452	88.485	-3.226	167.000	1.530	
		9.000	166.40	3.885	-273.150	0.000	125.720	10.000	-0.192	0.231	-0.463	88.122	-3.084	167.000	1.530	
		9.100	170.03	3.885	-273.150	0.000	126.637	10.000	-0.190	0.231	-0.469	87.757	-2.985	167.000	1.530	
		9.200	173.67	3.885	-273.150	0.000	127.468	10.000	-0.195	0.230	-0.475	87.380	-3.023	167.000	1.530	
		9.300	177.34	3.885	-273.150	0.000	128.292	10.000	-0.212	0.230	-0.481	86.991	-3.229	167.000	1.530	
		9.400	181.07	3.885	-273.150	0.000	129.121	10.000	-0.241	0.231	-0.487	86.610	-3.658	167.000	1.530	
		9.500	184.79	3.885	-273.150	0.000	129.848	10.000	-0.279	0.230	-0.499	86.244	-4.183	167.000	1.530	
		9.600	188.53	3.885	-273.150	0.000	130.663	10.000	-0.323	0.223	-0.505	85.878	-4.799	167.000	1.530	
		9.700	192.29	3.885	-273.150	0.000	131.384	10.000	-0.369	0.206	-0.510	85.515	-5.431	167.000	1.530	
		9.800	196.07	3.885	-273.150	0.000	132.150	10.000	-0.410	0.165	-0.517	85.172	-5.987	167.000	1.530	
		9.900	199.91	3.885	-273.150	0.000	133.057	10.000	-0.437	0.090	-0.528	84.829	-6.305	167.000	1.530	
		10.000	203.72	3.885	-273.150	0.000	133.278	10.000	-0.447	-0.017	-0.533	84.496	-6.396	167.000	1.530	
		10.100	207.53	3.885	-273.150	0.000	133.175	10.000	-0.438	-0.157	-0.533	84.156	-6.244	167.000	1.527	
		10.200	211.33	3.885	-273.150	0.000	132.708	10.000	-0.409	-0.325	-0.531	83.823	-5.831	167.000	1.520	
		10.300	215.12	3.885	-273.150	0.000	131.028	10.000	-0.359	-0.509	-0.523	83.470	-5.143	167.000	1.520	
		10.400	218.80	3.885	-273.150	0.000	128.725	10.000	-0.299	-0.683	-0.511	83.104	-4.332	167.000	1.520	
		10.500	222.40	3.885	-273.150	0.000	125.884	10.000	-0.236	-0.831	-0.500	82.729	-3.458	167.000	1.520	
		10.600	225.90	3.885	-273.150	0.000	122.178	10.000	-0.176	-0.940	-0.490	82.330	-2.623	167.000	1.520	
		10.700	229.28	3.885	-273.150	0.000	118.248	10.000	-0.126	-0.999	-0.482	81.907	-1.924	167.000	1.520	
		10.800	232.59	3.885	-273.150	0.000	114.480	10.000	-0.090	-1.003	-0.475	81.450	-1.416	167.000	1.520	
		10.900	235.76	3.885	-273.150	0.000	110.615	10.000	-0.070	-0.969	-0.472	80.960	-1.120	167.000	1.520	
		11.000	238.83	3.885	-273.150	0.000	107.226	10.000	-0.062	-0.914	-0.470	80.440	-1.043	167.000	1.520	
